BR,rho,rec_sp,don_sp,sensitivity
0.2,0.09,Cm,Cc,0.965095671750404
0.2,0.09,Cm,Ac,0.9708082696798036
0.2,0.09,Cm,both,1.0004238353956563
0.2,0.09,Cm,Cc,0.9688997554527952
0.2,0.09,Cm,Ac,1.0107745849983019
0.2,0.09,Cm,both,1.0797210011167515
0.2,0.09,Cm,Cc,0.9048397790925404
0.2,0.09,Cm,Ac,0.962141414509505
0.2,0.09,Cm,both,0.9033947516016759
0.2,0.09,Cm,Cc,0.9362752773955864
0.2,0.09,Cm,Ac,0.9727776493599986
0.2,0.09,Cm,both,0.9455431762373039
0.2,0.09,Cm,Cc,0.940717189391777
0.2,0.09,Cm,Ac,0.9913928983797566
0.2,0.09,Cm,both,1.0158448641339533
0.2,0.09,Cm,Cc,0.9422164115279148
0.2,0.09,Cm,Ac,0.992924761384707
0.2,0.09,Cm,both,1.0149557946799186
0.2,0.09,Cm,Cc,0.9046511864983412
0.2,0.09,Cm,Ac,0.9862635494539358
0.2,0.09,Cm,both,0.9569182848769363
0.2,0.09,Cm,Cc,0.9326449586718553
0.2,0.09,Cm,Ac,0.9772883856899925
0.2,0.09,Cm,both,0.9567960889003985
0.2,0.09,Cm,Cc,0.9084490836683308
0.2,0.09,Cm,Ac,0.9912245525876137
0.2,0.09,Cm,both,0.9604576347379802
0.2,0.09,Cm,Cc,0.9334106216800673
0.2,0.09,Cm,Ac,0.9661715007727852
0.2,0.09,Cm,both,0.9647188013445134
0.2,0.09,Cm,Cc,0.9375949778849542
0.2,0.09,Cm,Ac,0.975777122977694
0.2,0.09,Cm,both,0.9856274512342317
0.2,0.09,Cm,Cc,0.9484866971945636
0.2,0.09,Cm,Ac,0.9703014781253309
0.2,0.09,Cm,both,0.9628390648072731
0.2,0.09,Cm,Cc,0.9387389752829541
0.2,0.09,Cm,Ac,0.9753849613888363
0.2,0.09,Cm,both,0.9736901001399763
0.2,0.09,Cm,Cc,0.9806272458105716
0.2,0.09,Cm,Ac,1.0218417538997542
0.2,0.09,Cm,both,1.1019916051855845
0.2,0.09,Cm,Cc,0.9163769071763724
0.2,0.09,Cm,Ac,0.9656343273719594
0.2,0.09,Cm,both,0.9307468130422543
0.2,0.09,Cm,Cc,0.9074225190701346
0.2,0.09,Cm,Ac,0.9843168538138182
0.2,0.09,Cm,both,0.9488203842444561
0.2,0.09,Cm,Cc,0.9243075678513397
0.2,0.09,Cm,Ac,0.9779786743106943
0.2,0.09,Cm,both,0.9717705794576844
0.2,0.09,Cm,Cc,0.9337280777149466
0.2,0.09,Cm,Ac,0.9778291818006905
0.2,0.09,Cm,both,0.9639120976237321
0.2,0.09,Cm,Cc,0.9210418684689314
0.2,0.09,Cm,Ac,0.971831250156021
0.2,0.09,Cm,both,0.9364510372908836
0.2,0.09,Cm,Cc,0.9060606061019064
0.2,0.09,Cm,Ac,0.977246856930272
0.2,0.09,Cm,both,0.9484953014556994
0.2,0.09,Cm,Cc,0.9105408170641942
0.2,0.09,Cm,Ac,0.9867078084882404
0.2,0.09,Cm,both,0.9678892588542555
0.2,0.09,Cm,Cc,0.9288350551554886
0.2,0.09,Cm,Ac,0.9783523477137052
0.2,0.09,Cm,both,0.9718561609739004
0.2,0.09,Cm,Cc,0.9619917125331747
0.2,0.09,Cm,Ac,0.9935153339223045
0.2,0.09,Cm,both,1.0410443779772907
0.2,0.09,Cm,Cc,0.9469773139717088
0.2,0.09,Cm,Ac,0.9866622613381484
0.2,0.09,Cm,both,1.0006923859139618
0.2,0.09,Cm,Cc,0.9487742072519557
0.2,0.09,Cm,Ac,0.9920903864253617
0.2,0.09,Cm,both,1.0081019253805619
0.2,0.09,Cm,Cc,0.9259394644666223
0.2,0.09,Cm,Ac,0.9960882174708063
0.2,0.09,Cm,both,1.0224680694588064
0.2,0.09,Cm,Cc,0.9575511446820497
0.2,0.09,Cm,Ac,0.9562289430534441
0.2,0.09,Cm,both,0.957638444681626
0.2,0.09,Cm,Cc,0.9087363219612682
0.2,0.09,Cm,Ac,0.986983237939385
0.2,0.09,Cm,both,0.9676714298983953
0.2,0.09,Cm,Cc,0.9621357431003478
0.2,0.09,Cm,Ac,0.9839586167475548
0.2,0.09,Cm,both,0.9952789242638027
0.2,0.09,Cm,Cc,0.9389075939051071
0.2,0.09,Cm,Ac,0.9722047005523377
0.2,0.09,Cm,both,0.9706909943898637
0.2,0.09,Cm,Cc,1.0146149748440976
0.2,0.09,Cm,Ac,0.9919897117606521
0.2,0.09,Cm,both,1.081994935540831
0.2,0.09,Cm,Cc,0.9063734375963333
0.2,0.09,Cm,Ac,0.972678053649319
0.2,0.09,Cm,both,0.9324984073531503
0.2,0.09,Cm,Cc,0.8959958749741834
0.2,0.09,Cm,Ac,0.9748702154879483
0.2,0.09,Cm,both,0.925588246133483
0.2,0.09,Cm,Cc,0.9139335495022433
0.2,0.09,Cm,Ac,0.9753340335658757
0.2,0.09,Cm,both,0.9264069905410437
0.2,0.09,Cm,Cc,0.9111840234204
0.2,0.09,Cm,Ac,0.9590320708916324
0.2,0.09,Cm,both,0.909325828987288
0.2,0.09,Cm,Cc,0.929807158971698
0.2,0.09,Cm,Ac,0.9941881894137716
0.2,0.09,Cm,both,0.9816217723442793
0.2,0.09,Cm,Cc,0.9485190204295393
0.2,0.09,Cm,Ac,0.9972882897931415
0.2,0.09,Cm,both,1.023080003317695
0.2,0.09,Cm,Cc,0.9265827238299222
0.2,0.09,Cm,Ac,0.9820069126536402
0.2,0.09,Cm,both,0.9568457892920874
0.2,0.09,Cm,Cc,0.949616969646537
0.2,0.09,Cm,Ac,1.0094916114322223
0.2,0.09,Cm,both,1.0438168217892796
0.2,0.09,Cm,Cc,0.9411817490565485
0.2,0.09,Cm,Ac,0.9960917822539329
0.2,0.09,Cm,both,1.0209072843495768
0.2,0.09,Cm,Cc,0.9479700836149382
0.2,0.09,Cm,Ac,0.9880420005600825
0.2,0.09,Cm,both,1.0181164379515628
0.2,0.09,Cm,Cc,0.9615219430860451
0.2,0.09,Cm,Ac,0.9822438096859554
0.2,0.09,Cm,both,1.0195015635066147
0.2,0.09,Cm,Cc,0.9190902070880688
0.2,0.09,Cm,Ac,0.9845143064718465
0.2,0.09,Cm,both,0.9586254913726954
0.2,0.09,Cm,Cc,0.9354212769672301
0.2,0.09,Cm,Ac,0.981402027715566
0.2,0.09,Cm,both,0.9846130281269977
0.2,0.09,Cm,Cc,0.9441176153335011
0.2,0.09,Cm,Ac,0.9812541781365728
0.2,0.09,Cm,both,0.9803489460144269
0.2,0.09,Cm,Cc,0.9054179912586593
0.2,0.09,Cm,Ac,0.9756258503074542
0.2,0.09,Cm,both,0.9622215062417339
0.2,0.09,Cm,Cc,0.9235547575167259
0.2,0.09,Cm,Ac,0.9740215011575135
0.2,0.09,Cm,both,0.9466569951475338
0.2,0.09,Cm,Cc,0.9592746886294797
0.2,0.09,Cm,Ac,0.9972127700720781
0.2,0.09,Cm,both,1.018875181522879
0.2,0.09,Cm,Cc,0.9221482048439686
0.2,0.09,Cm,Ac,0.9872640306081715
0.2,0.09,Cm,both,0.9715544709921566
0.2,0.09,Cm,Cc,0.89811508419229
0.2,0.09,Cm,Ac,0.9774287423927606
0.2,0.09,Cm,both,0.9405553809758489
0.2,0.09,Cm,Cc,0.8989456529724896
0.2,0.09,Cm,Ac,0.9791037075055486
0.2,0.09,Cm,both,0.9285436362051521
