a12,b12,x1,indirect,direct
-0.3,-0.75,0.5700009739624444,-0.3936148473373402,-0.45501549584719336
-0.3,-0.75,0.6919653947612815,-0.17790609528747148,-0.39368161948526587
-0.3,-0.75,0.6441923472489488,-0.21715153503238444,-0.4175303350775391
-0.3,-0.75,0.601041465996952,-3.2190163146239153e-37,-0.4386844174946998
-0.3,-0.75,0.8253162447059097,-0.23602262051743442,-0.3472085806997357
-0.3,-0.75,0.36211404191218394,-0.40427562079577267,-0.645322786320339
-0.3,-0.75,0.6483616210700224,-0.32284656770969977,-0.415993008809328
-0.3,-0.75,0.7199550776027434,0.0608328496994576,-0.38516273666561174
-0.3,-0.75,0.48758452682592496,-5.3672106898236955e-37,-0.5118621791567444
-0.3,-0.75,0.8735640480476535,-0.09547953131294509,-0.3324031356485601
-0.3,-0.75,0.23368061559318726,-0.28279625267897796,-0.8259235152920714
-0.3,-0.75,0.4742270082496559,-3.88429504518231e-37,-0.5205040673881112
-0.3,-0.75,0.8213116887220919,-0.12028557222368003,-0.34763912396092145
-0.3,-0.75,0.30554593511869904,-0.8744195040263838,-0.7344221497687502
-0.3,-0.75,0.6934210865976704,-0.4833758616136785,-0.39456502462289444
-0.3,-0.75,0.5524715171311065,-0.0355731335700418,-0.46852458994308066
-0.3,-0.75,0.8083578498188664,-0.08417531053112406,-0.3518607004961352
-0.3,-0.75,0.3322981602005831,-1.0532648319121913,-0.6764778682670528
-0.3,-0.75,0.7350969145319376,-0.1573938652676603,-0.37718283264900276
-0.3,-0.75,0.4958499590363915,-0.18183294761795038,-0.5118362024502539
-0.3,-0.75,0.7938455479997171,-0.23172102083595641,-0.3557664289632332
-0.3,-0.75,0.3542613788092464,-0.16385925001309185,-0.654696740254806
-0.3,-0.75,0.7869005932213137,-0.00826766358957087,-0.3597734760832786
-0.3,-0.75,0.4500168237360888,1.5599721757520545e-37,-0.5407185537788974
-0.3,-0.75,0.698532958287365,-0.3237461989246415,-0.3941777275110529
-0.3,-0.75,0.6660661927427205,-0.16594091902156538,-0.4065644723827176
-0.3,-0.75,0.5664530357207068,-0.4040166633934446,-0.45802588165862707
-0.3,-0.75,0.8492643101133946,-0.2258305274180833,-0.34550045554332587
-0.3,-0.75,0.28381473106021166,-0.5747682573652388,-0.7659546174673092
-0.3,-0.75,0.5715310658762894,-0.6157656727160966,-0.4562985882439883
-0.3,-0.75,0.7483455153000356,-0.3721943118214273,-0.37195822924244143
-0.3,-0.75,0.4523623863688346,-8.356329179983094e-38,-0.5462812601588298
-0.3,-0.75,0.8364442883603826,-0.2882451275921528,-0.3443051961790036
-0.3,-0.75,0.29624272497244825,-0.3283521677159195,-0.7471365371963027
-0.3,-0.75,0.6255949702543139,-0.2640714144283978,-0.42392204085937
-0.3,-0.75,0.635155459033788,-0.12373453712365919,-0.4217596639601164
-0.3,-0.75,0.7508506950456016,-0.30423407115120055,-0.3701019363695256
-0.3,-0.75,0.4533811099394781,-3.2518096849137494e-37,-0.545088230837434
-0.3,-0.75,0.8227017640130914,-0.08358141341618391,-0.3470291226358916
-0.3,-0.75,0.3103346506490642,-0.5939974350867964,-0.7274200041042094
-0.3,-0.75,0.6800243982734755,-0.3003585316598302,-0.40062805417323555
-0.3,-0.75,0.5589071730662858,-0.221011364800793,-0.46094531598642485
-0.3,-0.75,0.8440188988278231,-0.09869501891717097,-0.34273408676423417
-0.3,-0.75,0.30794635256987435,-1.4002194167581328,-0.7355526816652354
-0.3,-0.75,0.5978843858692942,-0.5440453027074563,-0.4392850094509362
-0.3,-0.75,0.7523414357338747,-0.42196713743635395,-0.3718058342225106
-0.3,-0.75,0.4264631035336184,-0.2955980112026664,-0.5609675953258872
-0.3,-0.75,0.8491539764290749,-0.2900975478283688,-0.3401559763303708
-0.3,-0.75,0.29289241299521773,-0.6412011363963358,-0.7488370785261232
-0.3,-0.75,0.5767149261805676,-0.4006180021429589,-0.45406819262971254
-0.3,-0.75,0.7679520435723854,-0.34962426198724067,-0.3654752883604215
-0.3,-0.75,0.4073219460927177,7.913849557444156e-37,-0.5914870910858503
-0.3,-0.75,0.8333902407124428,-0.23397401515798993,-0.3443595548192482
-0.3,-0.75,0.3445102621968546,-0.16513211083956317,-0.6694490470633241
-0.3,-0.75,0.6299460082683409,-0.09427346906103164,-0.4233406616061379
-0.3,-0.75,0.7431808908564053,0.2532619997042457,-0.3717966212737742
-0.3,-0.75,0.449085380848555,-0.032904417192304684,-0.5447044512236338
-0.3,-0.75,0.8611552770225653,-0.19897467309719502,-0.33714906982577747
-0.3,-0.75,0.26112125553623883,-0.42468575537337744,-0.7967103339776327
-0.3,-0.75,0.5264775966581553,-0.1993167324082884,-0.48096852984848726
-0.3,-0.75,0.7985615628052379,-0.1632456439231548,-0.3542919569824554
-0.3,-0.75,0.3454802040091671,-0.6023984465467382,-0.6676856471205529
-0.3,-0.75,0.772904521327324,-0.36931666984913164,-0.36004527935305325
-0.3,-0.75,0.4672215514920955,-1.6504476926692236e-37,-0.5417688237230205
-0.3,-0.75,0.714732510610613,-0.4435008795276892,-0.3868875251298962
-0.3,-0.75,0.6024148069133901,-0.4983796034886816,-0.4430955994376215
-0.3,-0.75,0.638501736980413,-0.4694854051679936,-0.41936174529767395
-0.3,-0.75,0.780241935919472,-0.1417424707175044,-0.36029661004912195
-0.3,-0.75,0.41833124642456937,-0.15330229494809858,-0.5701430590336208
-0.3,-0.75,0.7451755547723933,-0.20375067453215653,-0.37282858231994354
-0.3,-0.75,0.45854413440813,-0.5792241570618808,-0.5412355097243376
-0.3,-0.75,0.8139315159542027,-0.02312263526879045,-0.35069154855165063
-0.3,-0.75,0.30411857318176055,-0.8448476037926603,-0.7325745399076969
-0.3,-0.75,0.7177435730867282,-0.22366371775481392,-0.38622178060526763
