BR,run,Weeks,rec_sp,don_sp,rho,mae,rmse,rec_dens,coef
0.2,8,1,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
0.2,8,1,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09090909090909091,NA
0.2,8,2,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.08181818181818182,NA
0.2,8,2,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.08181818181818182,NA
0.2,8,3,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09545454545454546,NA
0.2,8,3,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.09545454545454546,NA
0.2,8,4,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.40454545454545454,NA
0.2,8,4,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.40454545454545454,NA
0.2,8,5,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.6,NA
0.2,8,5,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.6,NA
0.2,8,6,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.7863636363636364,0.18814464296839947
0.2,8,6,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.7863636363636364,-0.9720470639460268
0.2,8,7,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.1409090909090909,-0.8050551845600267
0.2,8,7,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.1409090909090909,-0.8832726007322307
0.2,8,8,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.24545454545454545,-0.48021297073638786
0.2,8,8,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.24545454545454545,-0.41942672041848267
0.2,8,9,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.6636363636363637,-0.8504032624065926
0.2,8,9,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.6636363636363637,-0.4744092069098887
0.2,8,10,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.75,-0.38371919118320974
0.2,8,10,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.75,-0.21013917181031122
0.2,8,11,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.10909090909090909,-0.6514858300086819
0.2,8,11,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.10909090909090909,-0.4943410438308087
0.2,8,12,Cm,Cc,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.15,-0.577079125906802
0.2,8,12,Cm,Ac,0.7937713612147738,0.09452919288485953,0.11991652826854043,0.15,-0.5183182400178836
