ref,tar,E,Tp,rho,mae,rmse,p_min,p_sur
Tridentiger_trigonocephalus,Acentrogobius_pflaumii,9,-3,0.19243875316794837,0.12385548058266041,0.16999185435166245,0.07,0.101
Tridentiger_trigonocephalus,Acentrogobius_pflaumii,9,-2,0.21527399269086261,0.11966388075375,0.16282033830020567,0.04,0.042
Tridentiger_trigonocephalus,Acentrogobius_pflaumii,9,-1,0.16658566006918119,0.1229077458359561,0.16698872818840851,0.31,0.174
Tridentiger_trigonocephalus,Acentrogobius_pflaumii,9,0,0.18328374241374795,0.12131805834339841,0.16560916742276624,0.09,0.107
Tridentiger_trigonocephalus,Sebastes_inermis,9,-3,0.25121293586537613,0.09634931654016007,0.15052198414662638,0,0.142
Tridentiger_trigonocephalus,Sebastes_inermis,9,-2,0.31164273282788074,0.08999429719709721,0.13646126723555377,0,0.05
Tridentiger_trigonocephalus,Sebastes_inermis,9,-1,0.325827264192724,0.09382379085794561,0.1366997129640012,0,0.032
Tridentiger_trigonocephalus,Sebastes_inermis,9,0,0.31068518075319285,0.09458522056156253,0.13983133735253855,0.08,0.099
Tridentiger_trigonocephalus,Pseudolabrus_sieboldi,9,-3,0.3269451891859235,0.14210531488238556,0.19045380734361883,0.01,0.907
Tridentiger_trigonocephalus,Pseudolabrus_sieboldi,9,-2,0.384893108176202,0.1325421813699332,0.1828950501835155,0,0.785
Tridentiger_trigonocephalus,Pseudolabrus_sieboldi,9,-1,0.35757592745950756,0.13494403725522083,0.18397629051775805,0,0.786
Tridentiger_trigonocephalus,Pseudolabrus_sieboldi,9,0,0.32848194606064784,0.14038175902994135,0.18572138671966784,0,0.815
Tridentiger_trigonocephalus,Rudarius_ercodes,9,-3,0.19091442521131913,0.038638265569163714,0.1052624768186717,0.13,0.122
Tridentiger_trigonocephalus,Rudarius_ercodes,9,-2,0.16668992019162726,0.03897468934182572,0.10607681446749598,0.21,0.17
Tridentiger_trigonocephalus,Rudarius_ercodes,9,-1,0.11055759865403447,0.04004371719192552,0.10753533198400717,0.5,0.358
