b12,p_noise,o_noise,indirect,direct
0.00489150273253214,0.001,0.001,0.224789037799019,0.152254624610084
0.0485550257199756,0.001,0.001,0.202500112166339,0.184194905458731
0.112904324922141,0.001,0.001,0.182949321649255,0.137503488821056
0.364477272425738,0.001,0.001,0.12891818137307,0.061627768468126
-0.311894392719091,0.001,0.001,0.259607006630164,0.116147598538671
-0.0718459740257379,0.001,0.001,0.22881899528779,0.12093814844765
-0.175681708149017,0.001,0.001,0.224457721715001,0.112469581291757
0.1830316284784,0.001,0.001,0.158991571358854,0.0818222426092707
-0.427186973455211,0.001,0.001,0.286920856968162,0.140153130675327
-0.194004528068443,0.001,0.001,0.240380550327684,0.125368680937852
0.370606367371809,0.001,0.001,0.15257002661541,0.13886299762405
0.390155762533864,0.001,0.001,0.212663180280666,0.164022443879998
0.159750809563693,0.001,0.001,0.187368042448678,0.115748969172941
-0.349610255439776,0.001,0.001,0.247267991947615,0.0882120791350711
-0.51947212611394,0.001,0.001,0.318618305153783,0.182202288915901
0.149973854828009,0.001,0.001,0.201181741259177,0.126189972595603
0.0652740859144901,0.001,0.001,0.164361678714978,0.0694325499135243
0.0185848726733908,0.001,0.001,0.130261434400069,0.16959419158548
-0.227710734611076,0.001,0.001,0.197841193404844,0.0686431912418773
0.00398943483909216,0.001,0.001,0.174287995899974,0.0886580501011105
0.179315509133521,0.001,0.001,0.145272342608043,0.200758068221192
0.055063698755821,0.001,0.001,0.160383193176437,0.0754041466856022
0.466339801060076,0.001,0.001,0.145698739578692,0.151597286739064
-0.209536361523385,0.001,0.001,0.210958433388055,0.0946598624224041
-0.0921638227786809,0.001,0.001,0.212326667505739,0.0880553267013869
0.0452052835032016,0.001,0.001,0.19466461038468,0.1408532330935
0.237479817149707,0.001,0.001,0.230082517660507,0.15266248726325
0.545182938076612,0.001,0.001,0.188036493043771,0.16575950322716
0.101300369797081,0.001,0.001,0.177277472615707,0.0870190684010017
-0.153489420968898,0.001,0.001,0.188870471241784,0.084126919079587
-0.326084319313197,0.001,0.001,0.285593224354622,0.172426086024052
0.120736130056455,0.001,0.001,0.190167382888422,0.119036767852689
0.122807457976433,0.001,0.001,0.186285877499342,0.173869887886699
-0.0420898153439743,0.001,0.001,0.216372166496009,0.108312287749969
0.329244199679802,0.001,0.001,0.158655843531821,0.077558179810071
0.0413815284999683,0.001,0.001,0.18745287555872,0.160885123233479
-0.0754752524100546,0.001,0.001,0.243501523139992,0.136810711533926
0.130267682995757,0.001,0.001,0.198022777179433,0.117406845022101
0.0673386642090128,0.001,0.001,0.196916920065033,0.131492286714481
0.0441951768121163,0.001,0.001,0.179831459935114,0.117470381057274
0.125672855700921,0.001,0.001,0.203085097184812,0.122304115289779
0.0680542177628082,0.001,0.001,0.339155852739498,0.236532840381191
